pathway_id	pathway_name	ko_ID	ko_name
9101	Carbohydrate_metabolism	123876	ACSM2A
9101	Carbohydrate_metabolism	142827	ACSM6
9101	Carbohydrate_metabolism	1892	ECHS1
9101	Carbohydrate_metabolism	18	ABAT
9101	Carbohydrate_metabolism	1962	EHHADH
9101	Carbohydrate_metabolism	2571	GAD1
9101	Carbohydrate_metabolism	2572	GAD2
9101	Carbohydrate_metabolism	3030	HADHA
9101	Carbohydrate_metabolism	3033	HADH
9101	Carbohydrate_metabolism	3155	HMGCL
9101	Carbohydrate_metabolism	3157	HMGCS1
9101	Carbohydrate_metabolism	3158	HMGCS2
9101	Carbohydrate_metabolism	341392	ACSM4
9101	Carbohydrate_metabolism	348158	ACSM2B
9101	Carbohydrate_metabolism	35	ACADS
9101	Carbohydrate_metabolism	38	ACAT1
9101	Carbohydrate_metabolism	39	ACAT2
9101	Carbohydrate_metabolism	5019	OXCT1
9101	Carbohydrate_metabolism	54511	HMGCLL1
9101	Carbohydrate_metabolism	54988	ACSM5
9101	Carbohydrate_metabolism	622	BDH1
9101	Carbohydrate_metabolism	6296	ACSM3
9101	Carbohydrate_metabolism	64064	OXCT2
9101	Carbohydrate_metabolism	65985	AACS
9101	Carbohydrate_metabolism	7915	ALDH5A1
9101	Carbohydrate_metabolism	79944	L2HGDH
9101	Carbohydrate_metabolism	730249	ACOD1
9102	Energy_metabolism	100532726	NDUFC2-KCTD14
9102	Energy_metabolism	10063	COX17
9102	Energy_metabolism	10312	TCIRG1
9102	Energy_metabolism	10476	ATP5PD
9102	Energy_metabolism	10632	ATP5MG
9102	Energy_metabolism	10975	UQCR11
9102	Energy_metabolism	125965	COX6B2
9102	Energy_metabolism	126328	NDUFA11
